XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
2026-01-08 12:55:29.739 +02:00
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(d): Dampening Suppressed
(E): E-Trunk down
The number of interface that is UP in Physical is 64
The number of interface that is DOWN in Physical is 29
The number of interface that is UP in Protocol is 53
The number of interface that is DOWN in Protocol is 40

Interface                         IP Address/Mask      Physical   Protocol  
GigabitEthernet0/0/0              192.168.0.1/24       down       down      
GigabitEthernet1/0/0              unassigned           *down      down      
GigabitEthernet1/0/1              unassigned           *down      down      
GigabitEthernet1/0/2              unassigned           *down      down      
GigabitEthernet1/0/3              unassigned           *down      down      
GigabitEthernet1/0/4              192.168.200.2/30     up         up        
GigabitEthernet1/0/5              unassigned           *down      down      
GigabitEthernet1/0/6              unassigned           *down      down      
GigabitEthernet1/0/7              unassigned           *down      down      
GigabitEthernet1/0/8              unassigned           *down      down      
GigabitEthernet1/0/9              unassigned           up         down      
GigabitEthernet1/0/9.10           unassigned           up         down      
GigabitEthernet1/0/9.50           10.52.101.14/28      up         up        
GigabitEthernet1/0/9.61           unassigned           up         down      
GigabitEthernet1/0/9.89           196.2.126.43/27      up         up        
GigabitEthernet1/0/9.586          10.195.16.83/29      up         up        
GigabitEthernet1/0/9.1000         unassigned           up         down      
GigabitEthernet1/0/9.1001         10.120.16.134/30     up         up        
GigabitEthernet1/0/9.1005         172.20.105.4/29      up         up        
GigabitEthernet1/0/9.2337         172.23.37.98/29      up         up        
GigabitEthernet1/0/9.2338         172.23.38.98/29      up         up        
GigabitEthernet1/0/10             unassigned           *down      down      
GigabitEthernet1/0/11             unassigned           up         down      
GigabitEthernet1/0/11.50          unassigned           up         down      
GigabitEthernet1/0/11.60          10.195.17.2/24       up         up        
GigabitEthernet2/0/0              unassigned           *down      down      
GigabitEthernet2/0/1              unassigned           *down      down      
GigabitEthernet2/0/2              unassigned           *down      down      
GigabitEthernet2/0/3              unassigned           *down      down      
GigabitEthernet2/0/4              unassigned           *down      down      
GigabitEthernet2/0/5              unassigned           *down      down      
GigabitEthernet2/0/6              unassigned           *down      down      
GigabitEthernet2/0/7              unassigned           *down      down      
GigabitEthernet2/0/8(10G)         41.73.34.5/30        up         up        
GigabitEthernet2/0/9(10G)         unassigned           up         down      
GigabitEthernet2/0/9.1            unassigned           up         down      
GigabitEthernet2/0/9.2            10.120.17.44/29      up         up        
GigabitEthernet2/0/9.218          10.193.16.44/29      up         up        
GigabitEthernet2/0/9.220          10.120.16.58/29      up         up        
GigabitEthernet2/0/9.531          10.51.11.3/24        up         up        
GigabitEthernet2/0/9.550          10.193.64.253/24     up         up        
GigabitEthernet2/0/9.578          10.193.5.253/24      up         up        
GigabitEthernet2/0/9.602          10.120.17.82/28      up         up        
GigabitEthernet2/0/9.1003         10.193.17.98/29      up         up        
GigabitEthernet2/0/9.1006         10.193.17.106/29     up         up        
GigabitEthernet2/0/9.1008         10.193.17.114/29     up         up        
GigabitEthernet2/0/9.1009         10.193.17.122/29     up         up        
GigabitEthernet2/0/9.1899         41.73.59.3/28        up         up        
GigabitEthernet2/0/9.1992         10.120.17.52/29      up         up        
GigabitEthernet2/0/9.1995         10.7.4.60/27         up         up        
GigabitEthernet2/0/9.2892         10.10.0.36/27        up         up        
GigabitEthernet3/0/0              unassigned           *down      down      
GigabitEthernet3/0/1              unassigned           *down      down      
GigabitEthernet3/0/2              unassigned           *down      down      
GigabitEthernet3/0/3              unassigned           *down      down      
GigabitEthernet3/0/4              unassigned           *down      down      
GigabitEthernet3/0/5              unassigned           *down      down      
GigabitEthernet3/0/6              unassigned           *down      down      
GigabitEthernet3/0/7              unassigned           *down      down      
GigabitEthernet3/0/8(10G)         unassigned           up         down      
GigabitEthernet3/0/8.100          unassigned           up         down      
GigabitEthernet3/0/8.200          10.120.16.30/30      up         up        
GigabitEthernet3/0/8.300          41.73.34.80/31       *down      down      
GigabitEthernet3/0/8.1300         10.120.16.154/30     up         up        
GigabitEthernet3/0/8.1400         10.120.16.2/30       up         up        
GigabitEthernet3/0/8.1800         10.120.17.5/30       up         up        
GigabitEthernet3/0/8.1801         10.193.20.53/30      up         up        
GigabitEthernet3/0/8.2003         10.120.16.38/30      *down      down      
GigabitEthernet3/0/8.3661         10.120.16.18/30      up         up        
GigabitEthernet3/0/8.4007         10.120.16.34/30      up         up        
GigabitEthernet3/0/8.4008         10.193.16.37/30      up         up        
GigabitEthernet3/0/8.4009         10.120.16.165/30     up         up        
GigabitEthernet3/0/8.4013         unassigned           up         down      
GigabitEthernet3/0/9(10G)         unassigned           *down      down      
LoopBack0                         unassigned           up         up(s)     
LoopBack1                         10.1.24.208/32       up         up(s)     
LoopBack2                         unassigned           up         up(s)     
LoopBack3                         41.73.57.170/32      up         up(s)     
LoopBack4                         41.73.58.2/32        up         up(s)     
LoopBack5                         41.73.34.2/32        up         up(s)     
LoopBack6                         unassigned           up         up(s)     
LoopBack30                        10.0.3.14/32         up         up(s)     
LoopBack31                        10.0.3.13/32         up         up(s)     
LoopBack32                        41.73.34.53/32       up         up(s)     
LoopBack100                       unassigned           up         up(s)     
LoopBack1000                      unassigned           up         up(s)     
LoopBack1002                      unassigned           up         up(s)     
LoopBack1008                      unassigned           up         up(s)     
LoopBack1022                      unassigned           up         up(s)     
LoopBack1234                      unassigned           up         up(s)     
NULL0                             unassigned           up         up(s)     
Virtual-Template0                 10.120.31.1/32       up         up(s)     
Virtual-if0                       unassigned           up         up(s)     
