XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
*down: administratively down
!down: FIB overload down
^down: standby
(l): loopback
(s): spoofing
(d): Dampening Suppressed
(E): E-Trunk down
The number of interface that is UP in Physical is 503
The number of interface that is DOWN in Physical is 80
The number of interface that is UP in Protocol is 498
The number of interface that is DOWN in Protocol is 85
Interface                         IP Address/Mask      Physical   Protocol VPN 
100GE1/0/3.541                    10.193.24.125/25     up         up       l3vpn
100GE1/0/3.542                    10.7.9.253/24        up         up       l3vpn
100GE1/0/3.543                    10.7.8.253/24        up         up       l3vpn
100GE1/0/5                        10.1.80.53/30        up         up       --  
100GE1/0/7                        10.1.80.1/30         up         up       --  
100GE1/0/8                        10.1.80.253/30       up         up       --  
100GE1/0/9                        10.1.80.13/30        up         up       --  
100GE1/1/0                        10.1.80.17/30        up         up       --  
100GE1/1/1                        10.1.80.21/30        up         up       --  
100GE1/1/2                        10.1.80.25/30        up         up       --  
100GE1/1/3                        10.1.80.29/30        up         up       --  
100GE1/1/4                        10.1.80.33/30        up         up       --  
100GE1/1/5                        10.1.80.37/30        up         up       --  
100GE1/1/6                        10.1.80.41/30        up         up       --  
100GE1/1/7                        10.1.80.45/30        up         up       --  
100GE1/1/8                        10.1.80.49/30        up         up       --  
100GE1/1/9                        10.1.80.237/30       up         up       --  
100GE3/0/1                        10.1.80.221/30       up         up       --  
100GE3/0/1.4094                   128.107.204.212/16   up         up       l3vpn
100GE3/0/2                        unassigned           *down      down     --  
100GE3/0/4                        unassigned           *down      down     --  
100GE3/0/5                        unassigned           *down      down     --  
100GE3/0/7                        10.1.81.193/30       up         up       --  
100GE3/0/7.4094                   128.107.204.212/16   up         up       l3vpn
100GE3/0/8(100M)                  unassigned           *down      down     --  
100GE3/0/9                        unassigned           *down      down     --  
100GE3/0/11                       10.1.81.201/30       up         up       --  
100GE3/0/12                       unassigned           *down      down     --  
100GE3/0/14                       10.1.81.125/30       up         up       --  
100GE3/0/15                       10.1.81.141/30       up         up       --  
100GE3/0/16                       unassigned           *down      down     --  
100GE3/0/18                       unassigned           *down      down     --  
100GE3/0/19                       unassigned           *down      down     --  
100GE7/0/1                        10.1.81.181/30       up         up       --  
100GE7/0/1.4094                   128.107.204.212/16   up         up       l3vpn
100GE7/0/2                        10.1.81.173/30       up         up       --  
100GE7/0/2.4094                   128.107.204.212/16   up         up       l3vpn
100GE7/0/3                        10.1.81.165/30       up         up       --  
100GE7/0/3.4094                   128.107.204.212/16   up         up       l3vpn
100GE7/0/4                        10.1.81.157/30       up         up       --  
100GE7/0/4.4094                   128.107.204.212/16   up         up       l3vpn
100GE7/0/5                        10.1.81.149/30       up         up       --  
100GE7/0/5.4094                   128.107.204.212/16   up         up       l3vpn
100GE7/0/6                        10.1.81.209/30       up         up       --  
100GE7/0/6.4094                   128.107.204.212/16   up         up       l3vpn
100GE7/0/7                        10.1.81.217/30       up         up       --  
100GE7/0/7.4094                   128.107.204.212/16   up         up       l3vpn
100GE7/0/8                        10.1.81.225/30       up         up       --  
100GE7/0/9                        10.1.81.233/30       up         up       --  
100GE8/0/0                        10.1.80.57/30        up         up       --  
100GE8/0/1                        10.1.80.61/30        up         up       --  
100GE8/0/2                        10.1.80.65/30        up         up       --  
100GE8/0/3                        10.1.80.69/30        up         up       --  
100GE8/0/4                        10.1.80.73/30        up         up       --  
100GE8/0/5                        10.1.80.77/30        up         up       --  
100GE8/0/6                        10.1.80.81/30        up         up       --  
100GE8/0/7                        10.1.80.85/30        up         up       --  
100GE8/0/8                        10.1.80.89/30        up         up       --  
100GE8/0/9                        10.1.80.93/30        up         up       --  
100GE8/1/0                        10.1.80.97/30        up         up       --  
100GE8/1/1                        10.1.80.101/30       up         up       --  
100GE8/1/2                        10.1.80.105/30       up         up       --  
100GE8/1/3                        10.1.80.229/30       up         up       --  
100GE8/1/7                        unassigned           *down      down     --  
100GE8/1/8                        10.1.80.214/30       up         up       --  
100GE8/1/8.4094                   128.107.204.212/16   up         up       l3vpn
Eth-Trunk22.400                   10.120.23.11/29      up         up       l3vpn
Eth-Trunk22.401                   10.120.23.19/29      up         up       l3vpn
Eth-Trunk22.1300                  10.209.0.130/26      up         up       l3vpn
Eth-Trunk22.2413                  10.1.11.3/26         up         up       l3vpn
Eth-Trunk22.2414                  10.1.4.67/27         up         up       l3vpn
Eth-Trunk22.2415                  10.1.4.99/27         up         up       l3vpn
Eth-Trunk22.2416                  10.1.4.131/27        up         up       l3vpn
Eth-Trunk22.2600                  10.11.73.3/28        up         up       l3vpn
Eth-Trunk22.2601                  10.11.73.19/28       up         up       l3vpn
